Wall time,Step,Value
1680065099.496913,245760,33.63475036621094
1680065132.3993611,327680,113.42435455322266
1680065165.149515,409600,125.4720230102539
1680065263.659349,655360,144.90480041503906
1680065328.832512,819200,156.77627563476562
1680065361.577502,901120,155.8656768798828
1680065394.705249,983040,156.1258087158203
1680065494.677262,1228800,148.3245086669922
1680065527.531167,1310720,152.357177734375
1680065560.5242748,1392640,155.8632049560547
1680065624.7503629,1556480,160.20872497558594
1680065657.551598,1638400,137.27752685546875
1680065690.135029,1720320,137.56993103027344
1680065754.8472052,1884160,144.05650329589844
1680065787.3741162,1966080,155.03407287597656
1680065884.8172328,2211840,117.41277313232422
1680065917.367564,2293760,146.52047729492188
1680065949.703407,2375680,134.65036010742188
1680065982.160979,2457600,141.69033813476562
1680066014.655902,2539520,161.0020751953125
1680066047.236347,2621440,126.80437469482422
1680066079.7263849,2703360,173.13356018066406
1680066112.717001,2785280,152.95626831054688
1680066145.3017962,2867200,138.02442932128906
1680066210.534924,3031040,175.8418426513672
1680066243.089403,3112960,165.9315643310547
1680066277.140895,3194880,136.83412170410156
1680066309.762648,3276800,168.44725036621094
1680066342.460045,3358720,130.02073669433594
1680066408.164078,3522560,174.5549774169922
1680066441.184108,3604480,168.7332305908203
1680066574.758912,3932160,179.22962951660156
1680066607.504627,4014080,174.49038696289062
1680066640.057264,4096000,186.40635681152344
1680066672.670938,4177920,150.13406372070312
1680066705.381241,4259840,181.0872344970703
1680066738.2835488,4341760,153.03147888183594
1680066771.104369,4423680,169.96080017089844
1680066803.9830139,4505600,172.7959442138672
1680066836.601878,4587520,183.4622344970703
1680066902.669457,4751360,194.19834899902344
1680067001.274352,4997120,179.0312042236328
1680067034.453978,5079040,152.4861602783203
1680067067.188312,5160960,171.3843231201172
1680067100.02821,5242880,170.85169982910156
1680067165.722369,5406720,189.6329803466797
1680067198.659998,5488640,183.8644561767578
1680067231.356626,5570560,187.70657348632812
1680067263.983721,5652480,173.84519958496094
1680067329.297079,5816320,150.86439514160156
1680067361.880399,5898240,183.8215789794922
1680067427.310184,6062080,169.2469482421875
1680067494.022618,6225920,172.5119171142578
1680067559.697738,6389760,189.34552001953125
1680067592.6311,6471680,185.65821838378906
1680067625.411069,6553600,171.637451171875
1680067658.618124,6635520,186.45213317871094
1680067691.398678,6717440,176.59075927734375
1680067723.770535,6799360,185.7300262451172
1680067756.507215,6881280,190.0017852783203
1680067822.6319518,7045120,180.5886688232422
1680067855.379027,7127040,168.00868225097656
1680067888.091409,7208960,180.14480590820312
1680067954.245177,7372800,162.6853485107422
1680067986.987088,7454720,192.16246032714844
1680068052.763663,7618560,183.13430786132812
1680068119.5774999,7782400,184.7822723388672
1680068152.043624,7864320,161.5142364501953
1680068184.748686,7946240,181.88558959960938
1680068283.742624,8192000,192.3888702392578
1680068316.415901,8273920,173.4923095703125
1680068414.9235032,8519680,184.22064208984375
1680068447.72879,8601600,147.25213623046875
1680068514.1378481,8765440,187.31309509277344
1680068547.1344461,8847360,174.08229064941406
1680068579.781827,8929280,176.56207275390625
1680068612.830202,9011200,173.95086669921875
1680068645.656398,9093120,177.50607299804688
1680068679.544134,9175040,186.13436889648438
1680068712.6518872,9256960,184.11866760253906
1680068778.1975071,9420800,193.7333221435547
1680068810.891031,9502720,173.8404541015625
1680068844.12162,9584640,185.08460998535156
1680068876.933781,9666560,176.15127563476562
1680068942.451342,9830400,191.8217010498047
1680068975.4281259,9912320,188.44070434570312
1680069008.557576,9994240,172.16224670410156
1680069139.219726,10321920,177.96226501464844
1680069171.841055,10403840,191.09860229492188
1680069204.488102,10485760,181.93971252441406
1680069239.649158,10567680,185.13983154296875
1680069273.4358451,10649600,190.19290161132812
1680069305.8465621,10731520,178.4103240966797
1680069338.452228,10813440,175.5136260986328
1680069371.009237,10895360,189.98841857910156
1680069436.249168,11059200,180.17494201660156
1680069501.690679,11223040,184.8514862060547
1680069534.141005,11304960,191.44993591308594
1680069566.9076889,11386880,141.58692932128906
1680069599.639133,11468800,140.93748474121094
1680069632.282926,11550720,194.62530517578125
1680069664.930717,11632640,173.4188690185547
1680069730.705227,11796480,176.3101043701172
1680069763.119295,11878400,197.39364624023438
1680069795.657717,11960320,176.51202392578125
1680069828.007018,12042240,197.4841766357422
1680069860.8725162,12124160,178.85260009765625
1680069894.326487,12206080,146.53173828125
1680069959.661939,12369920,190.7589111328125
1680070090.350524,12697600,179.6556854248047
1680070155.3188171,12861440,181.25074768066406
1680070187.9266298,12943360,180.670654296875
1680070220.716245,13025280,181.49888610839844
1680070253.308633,13107200,181.8015594482422
1680070285.510329,13189120,170.93702697753906
1680070318.440185,13271040,169.09722900390625
1680070350.985876,13352960,188.09608459472656
1680070383.181515,13434880,183.21212768554688
1680070415.663292,13516800,194.966552734375
1680070481.6213062,13680640,191.18150329589844
1680070547.02531,13844480,186.68357849121094
1680070579.663508,13926400,171.961181640625
1680070612.6447291,14008320,189.68063354492188
1680070645.599207,14090240,191.68760681152344
1680070678.335893,14172160,192.9369659423828
1680070743.4522188,14336000,190.160400390625
1680070776.314194,14417920,172.09141540527344
1680070808.8934531,14499840,192.18507385253906
1680070841.889963,14581760,170.29298400878906
1680070874.343599,14663680,179.5363311767578
1680070939.4757152,14827520,180.06707763671875
1680070972.03872,14909440,192.2840118408203
1680071004.433066,14991360,163.787353515625
1680071036.9515011,15073280,184.39540100097656
1680071070.986086,15155200,186.91917419433594
1680071103.227655,15237120,177.67332458496094
1680071135.964719,15319040,179.0398406982422
1680071234.070477,15564800,182.16969299316406
1680071266.738635,15646720,176.74185180664062
1680071299.333896,15728640,172.44627380371094
1680071331.91405,15810560,164.2642059326172
1680071364.5749278,15892480,188.8900604248047
1680071430.237254,16056320,186.5309295654297
1680071495.0343318,16220160,188.67147827148438
1680071528.262038,16302080,169.4832000732422
1680071560.806327,16384000,187.13449096679688
1680071593.283842,16465920,188.49879455566406
1680071658.9638789,16629760,178.74386596679688
1680071692.351135,16711680,134.5590057373047
1680071725.1019928,16793600,182.8755645751953
1680071760.174128,16875520,185.4935302734375
1680071792.739739,16957440,177.58514404296875
1680071825.192721,17039360,181.13165283203125
1680071858.001871,17121280,177.70167541503906
1680071890.680523,17203200,175.200439453125
1680071923.0190349,17285120,191.5800018310547
1680071955.5093088,17367040,175.6332244873047
1680072023.4099169,17530880,176.24472045898438
1680072088.7691698,17694720,189.58370971679688
1680072121.452827,17776640,162.29397583007812
1680072186.470447,17940480,186.82769775390625
1680072219.068288,18022400,186.15234375
1680072251.883682,18104320,190.57891845703125
