Wall time,Step,Value
1679951092.7303371,245760,84.5069351196289
1679951126.2995808,327680,111.90819549560547
1679951160.368396,409600,97.4235610961914
1679951269.743099,655360,152.45538330078125
1679951532.7858078,819200,149.71128845214844
1679951583.643082,901120,141.2821044921875
1679951620.766481,983040,160.6939697265625
1679951728.297548,1228800,146.4159698486328
1679952748.190464,1310720,154.16612243652344
1679952784.972865,1392640,146.77874755859375
1679952864.590168,1556480,132.53756713867188
1679952914.053211,1638400,165.3553009033203
1679952962.2303739,1720320,159.42724609375
1679953049.215926,1884160,128.53244018554688
1679953089.91447,1966080,161.30381774902344
1679953191.8619058,2211840,167.48724365234375
1679953226.050046,2293760,159.49075317382812
1679953261.825687,2375680,162.36224365234375
1679953295.284054,2457600,158.38034057617188
1679953329.5384572,2539520,160.56503295898438
1679953367.51035,2621440,135.00453186035156
1679953405.202017,2703360,164.41099548339844
1679953444.066414,2785280,151.8580322265625
1679953479.2948658,2867200,149.2806396484375
1679953547.9597912,3031040,152.5337371826172
1679953585.229887,3112960,145.32028198242188
1679953619.432302,3194880,117.1329574584961
1679953652.297397,3276800,161.47010803222656
1679953688.54403,3358720,153.776611328125
1679953758.4999502,3522560,163.46055603027344
1679953792.356868,3604480,163.17495727539062
1679953932.522739,3932160,154.51136779785156
1679953967.3528872,4014080,160.2637939453125
1679954003.488977,4096000,151.45314025878906
1679954042.555444,4177920,151.14051818847656
1679954080.192234,4259840,151.99070739746094
1679954117.694664,4341760,143.67306518554688
1679954155.2227159,4423680,132.2858428955078
1679954197.182608,4505600,157.4486083984375
1679954237.4589581,4587520,153.50030517578125
1679954306.066452,4751360,148.95933532714844
1679954431.9910662,4997120,162.9799041748047
1679954469.1401658,5079040,145.6410675048828
1679954503.7550778,5160960,159.49729919433594
1679954539.573709,5242880,155.05760192871094
1679954621.343102,5406720,155.01834106445312
1679954664.769505,5488640,158.75958251953125
1679954702.5837939,5570560,159.01531982421875
1679954741.0027761,5652480,140.86593627929688
1679954818.759351,5816320,162.4918975830078
1679954856.507605,5898240,155.69418334960938
1679954932.428371,6062080,162.68887329101562
1679955007.698605,6225920,158.0900115966797
1679955082.2537081,6389760,153.91595458984375
1679955119.044804,6471680,149.11000061035156
1679955156.717228,6553600,159.61634826660156
1679955194.0069408,6635520,157.2238006591797
1679955230.8820312,6717440,160.21836853027344
1679955268.402841,6799360,150.01339721679688
1679955306.4263291,6881280,149.66879272460938
1679955381.2292821,7045120,155.4734649658203
1679955418.892364,7127040,161.04095458984375
1679955455.145542,7208960,152.46774291992188
1679955528.143455,7372800,156.0343017578125
1679955565.161597,7454720,160.03318786621094
1679955638.9768262,7618560,160.89389038085938
1679955713.246891,7782400,157.04891967773438
1679955749.632909,7864320,164.3152618408203
1679955786.892865,7946240,165.65675354003906
1679955897.643117,8192000,163.57008361816406
1679955935.5268202,8273920,160.19790649414062
1679956050.252523,8519680,157.81202697753906
1679956087.44527,8601600,161.17283630371094
1679956165.771015,8765440,157.46469116210938
1679956202.741652,8847360,155.81622314453125
1679956239.1686132,8929280,157.37254333496094
1679956275.637084,9011200,153.42605590820312
1679956312.46417,9093120,157.6383819580078
1679956350.038305,9175040,152.42929077148438
1679956387.199156,9256960,156.68258666992188
1679956461.7768488,9420800,159.7351837158203
1679956499.119566,9502720,161.22825622558594
1679956536.269732,9584640,156.1419219970703
1679956574.4878879,9666560,162.34864807128906
1679956648.903562,9830400,158.8817596435547
1679956686.2382982,9912320,147.69625854492188
1679956723.982801,9994240,166.7419891357422
1679956873.034603,10321920,164.97964477539062
1679956909.2807848,10403840,165.5724334716797
1679956945.9212182,10485760,157.41342163085938
1679956983.101152,10567680,159.4761505126953
1679957022.1587222,10649600,162.4280548095703
1679957062.9831061,10731520,172.01914978027344
1679957100.0558069,10813440,164.13844299316406
1679957136.254974,10895360,163.3733673095703
1679957210.6970508,11059200,175.31790161132812
1679957285.64014,11223040,175.4759521484375
1679957323.244542,11304960,166.19432067871094
1679957360.659607,11386880,167.12615966796875
1679957398.064134,11468800,158.98199462890625
1679957435.788385,11550720,174.6015167236328
1679957473.970263,11632640,162.3440704345703
1679957548.681969,11796480,177.75636291503906
1679957586.226945,11878400,180.10702514648438
1679957623.926829,11960320,161.3662109375
1679957664.023152,12042240,181.95791625976562
1679957705.156998,12124160,171.2029266357422
1679957744.369931,12206080,164.5928955078125
1679957824.208195,12369920,170.2372589111328
1679957951.182694,12697600,170.00953674316406
1679958014.3257751,12861440,179.04713439941406
1679958045.8432581,12943360,147.28028869628906
1679958077.407213,13025280,173.2559356689453
1679958108.965686,13107200,162.06370544433594
1679958140.4942238,13189120,166.4491424560547
1679958172.1307762,13271040,179.70643615722656
1679958205.045109,13352960,181.71144104003906
1679958236.839939,13434880,178.1970977783203
1679958268.413111,13516800,140.4357147216797
1679958331.473845,13680640,180.26869201660156
1679958395.571132,13844480,163.73532104492188
1679958427.2688892,13926400,178.63975524902344
1679958458.999249,14008320,168.34027099609375
1679958490.644783,14090240,163.1504364013672
1679958522.510009,14172160,177.2046356201172
1679958585.6776261,14336000,180.71084594726562
1679958618.508644,14417920,182.64573669433594
1679958654.548036,14499840,181.904052734375
1679958687.493342,14581760,183.9588165283203
1679958719.135933,14663680,187.76942443847656
1679958782.063602,14827520,184.51412963867188
1679958813.590206,14909440,179.82476806640625
1679958845.2505789,14991360,186.3706817626953
1679958876.836957,15073280,182.1610107421875
1679958908.298003,15155200,186.159912109375
1679958939.7541819,15237120,182.10992431640625
1679958971.838167,15319040,182.62474060058594
1679959066.914133,15564800,161.99822998046875
1679959098.4924018,15646720,184.6332244873047
1679959130.394458,15728640,182.00942993164062
1679959162.496556,15810560,185.02500915527344
1679959194.111059,15892480,182.44900512695312
1679959257.235322,16056320,192.30809020996094
1679959320.281857,16220160,187.61184692382812
1679959351.803979,16302080,187.2440948486328
1679959383.503944,16384000,184.05462646484375
1679959415.2427678,16465920,180.75904846191406
1679959483.056284,16629760,188.22116088867188
1679959516.057514,16711680,180.10992431640625
1679959549.4988701,16793600,183.59214782714844
1679959582.464391,16875520,180.78842163085938
1679959614.641164,16957440,182.3753204345703
1679959646.151221,17039360,181.96653747558594
1679959678.331488,17121280,188.1895294189453
1679959710.408115,17203200,188.41162109375
1679959741.866358,17285120,185.34130859375
1679959773.799159,17367040,186.07704162597656
1679959837.1119502,17530880,189.07891845703125
1679959900.336111,17694720,125.65662384033203
1679959931.892937,17776640,191.46502685546875
1679959995.001842,17940480,149.547119140625
1679960026.699185,18022400,189.31858825683594
1679960058.28967,18104320,185.60931396484375
1679960089.847604,18186240,190.71469116210938
1679960121.633827,18268160,189.6913604736328
1679960186.237092,18432000,168.36801147460938
1679960217.9505851,18513920,186.80894470214844
1679960249.519357,18595840,188.94825744628906
1679960344.726298,18841600,119.93315887451172
1679960408.050756,19005440,148.43125915527344
1679960439.821444,19087360,143.4215087890625
1679960474.39738,19169280,179.42245483398438
1679960506.2671201,19251200,185.6195831298828
1679960538.3781781,19333120,185.5015106201172
1679960570.0807738,19415040,179.95628356933594
1679960601.659381,19496960,186.215576171875
1679960633.438137,19578880,180.4811248779297
1679960665.283923,19660800,190.058837890625
1679960728.662275,19824640,183.09750366210938
1679960760.202827,19906560,183.22288513183594
1679960823.970757,20070400,184.00039672851562
1679960855.547651,20152320,189.54539489746094
1679960887.206784,20234240,32.56589126586914
1679960919.0328069,20316160,189.51229858398438
1679960951.263999,20398080,181.90145874023438
1679960982.769693,20480000,187.89404296875
1679961077.242541,20725760,185.84579467773438
1679961108.8286111,20807680,191.1588592529297
1679961140.38414,20889600,186.44924926757812
1679961171.838675,20971520,190.037841796875
1679961235.808804,21135360,192.6501007080078
1679961267.599095,21217280,191.3834228515625
1679961299.4684339,21299200,192.6679229736328
1679961331.983655,21381120,192.1291046142578
1679961395.539618,21544960,193.6250457763672
1679961427.910815,21626880,190.96116638183594
1679961491.0640981,21790720,192.8151092529297
1679961585.97454,22036480,190.90219116210938
1679961649.4966762,22200320,193.09303283691406
1679961681.372132,22282240,195.34423828125
1679961744.382277,22446080,195.64149475097656
1679961775.834017,22528000,196.98190307617188
1679961807.649899,22609920,195.28175354003906
1679961839.023087,22691840,190.30213928222656
1679961901.771095,22855680,191.7171630859375
1679961933.027678,22937600,193.72230529785156
1679961964.245074,23019520,198.00941467285156
1679961995.808701,23101440,197.1575469970703
1679962027.1734521,23183360,196.68992614746094
1679962058.4221618,23265280,195.6760711669922
1679962090.002893,23347200,184.9683074951172
1679962121.523833,23429120,195.86058044433594
1679962153.328337,23511040,200.2357177734375
1679962184.730947,23592960,200.3213653564453
1679962216.171294,23674880,198.7969512939453
1679962279.1749701,23838720,193.3842315673828
1679962311.1908998,23920640,194.2554931640625
1679962436.644764,24248320,194.37306213378906
1679962468.150304,24330240,192.08444213867188
1679962499.5191119,24412160,196.84054565429688
1679962530.977531,24494080,193.9108123779297
1679962562.24445,24576000,191.42958068847656
1679962594.5719638,24657920,195.00148010253906
1679962688.913573,24903680,192.3922576904297
1679962720.568746,24985600,191.53668212890625
1679962752.0044081,25067520,188.82989501953125
1679962783.3636858,25149440,194.37347412109375
1679962814.9013638,25231360,195.56173706054688
1679962846.196928,25313280,191.9070281982422
1679962877.6677592,25395200,195.75875854492188
1679962940.5277598,25559040,197.119873046875
1679962972.007314,25640960,197.70542907714844
1679963003.665211,25722880,186.7418670654297
1679963035.3257449,25804800,187.54188537597656
1679963067.112459,25886720,193.84034729003906
1679963099.49197,25968640,194.79559326171875
1679963163.6945841,26132480,193.7895050048828
1679963196.476952,26214400,190.92457580566406
1679963228.1604538,26296320,198.40367126464844
1679963259.5950232,26378240,195.1002197265625
1679963291.053577,26460160,176.98629760742188
1679963354.548939,26624000,194.9280548095703
1679963448.913789,26869760,195.4810791015625
1679963511.905419,27033600,197.22935485839844
1679963543.559983,27115520,196.35867309570312
1679963574.959359,27197440,195.69004821777344
1679963606.236181,27279360,193.2972412109375
1679963637.8327308,27361280,199.41546630859375
1679963669.242601,27443200,197.9276885986328
1679963736.582575,27607040,198.6757354736328
1679963769.1063209,27688960,194.891357421875
1679963800.8805509,27770880,194.14508056640625
1679963863.773497,27934720,190.7948760986328
1679963926.9700859,28098560,199.0323028564453
1679963958.407951,28180480,193.9263458251953
1679963989.795892,28262400,201.8344268798828
1679964021.203757,28344320,195.1612091064453
1679964052.6056252,28426240,196.4395294189453
1679964084.034973,28508160,197.40225219726562
1679964115.321569,28590080,197.76351928710938
1679964147.281066,28672000,193.98704528808594
1679964178.685853,28753920,193.4582977294922
1679964241.539637,28917760,202.55322265625
1679964273.0009532,28999680,192.72142028808594
1679964304.463517,29081600,197.2671356201172
1679964335.896883,29163520,199.4257354736328
1679964398.9027698,29327360,195.26373291015625
1679964430.461473,29409280,202.19528198242188
1679964493.1205928,29573120,195.23692321777344
1679964524.880724,29655040,200.50755310058594
1679964557.055112,29736960,195.43785095214844
1679964588.3275971,29818880,199.1826171875
1679964619.7489212,29900800,194.6419677734375
1679964650.982317,29982720,194.21022033691406
1679964682.8906949,30064640,196.2979736328125
1679964714.34575,30146560,199.09442138671875
1679964745.612281,30228480,196.94248962402344
1679964777.0598578,30310400,195.31271362304688
1679964903.6862888,30638080,199.2541961669922
1679964937.018015,30720000,197.6033935546875
1679964969.183577,30801920,199.4462890625
1679965032.845813,30965760,193.29693603515625
1679965064.148896,31047680,197.70619201660156
1679965158.997612,31293440,194.46412658691406
1679965190.396106,31375360,201.60923767089844
1679965253.917228,31539200,196.84780883789062
1679965285.3333519,31621120,197.60655212402344
1679965316.7517838,31703040,196.34869384765625
1679965410.718859,31948800,195.47962951660156
1679965442.1271622,32030720,194.65386962890625
1679965473.5833778,32112640,197.38803100585938
1679965504.892488,32194560,199.4954376220703
