Wall time,Step,Value
1680117521.959826,245760,52.91043472290039
1680117563.276963,327680,85.08995819091797
1680117600.823668,409600,110.18306732177734
1680117701.795825,655360,150.92828369140625
1680117769.579626,819200,142.6275177001953
1680117802.460556,901120,159.5926513671875
1680117838.043207,983040,153.15086364746094
1680117943.499342,1228800,155.63673400878906
1680117979.902103,1310720,127.37187957763672
1680118019.865265,1392640,152.30384826660156
1680118094.436317,1556480,138.8744659423828
1680118127.202872,1638400,162.4363555908203
1680118165.015758,1720320,158.33636474609375
1680118238.340193,1884160,144.91552734375
1680118274.2443159,1966080,137.98240661621094
1680118400.47453,2211840,149.17689514160156
1680118452.544385,2293760,155.020263671875
1680118504.68821,2375680,156.9910888671875
1680118554.235822,2457600,157.7777862548828
1680118614.1493208,2539520,156.00616455078125
1680118667.219249,2621440,122.83439636230469
1680118719.223375,2703360,161.7794647216797
1680118774.07126,2785280,153.9291229248047
1680118830.8255281,2867200,166.24432373046875
1680118949.000631,3031040,146.94468688964844
1680119004.961163,3112960,159.0570831298828
1680119061.761264,3194880,158.63653564453125
1680119111.555234,3276800,142.06939697265625
1680119158.908396,3358720,150.59254455566406
1680119260.972172,3522560,167.73426818847656
1680119307.6728342,3604480,148.32327270507812
1680119534.495494,3932160,155.915771484375
1680119593.627987,4014080,149.7064208984375
1680119655.153852,4096000,152.9020538330078
1680119699.0551171,4177920,159.63352966308594
1680119851.611867,4259840,167.4478302001953
1680121164.296625,4341760,161.32667541503906
1680121201.470172,4423680,156.88023376464844
1680121240.708509,4505600,162.37208557128906
1680121284.086972,4587520,150.11805725097656
1680121355.813931,4751360,152.94554138183594
1680121473.145943,4997120,153.59808349609375
1680121513.129736,5079040,151.64442443847656
1680121548.371197,5160960,155.8607940673828
1680121583.6604538,5242880,160.37918090820312
1680121654.238119,5406720,157.90802001953125
1680121693.619651,5488640,159.49156188964844
1680121728.276139,5570560,156.12167358398438
1680121773.4611971,5652480,157.41224670410156
1680121847.918016,5816320,140.7676239013672
1680121884.975347,5898240,146.30274963378906
1680121958.6525178,6062080,156.39785766601562
1680122032.568637,6225920,153.75460815429688
1680122106.6253161,6389760,155.96482849121094
1680122145.161789,6471680,158.84042358398438
1680122182.5779068,6553600,157.47613525390625
1680122219.2525408,6635520,161.1224365234375
1680122257.0259688,6717440,159.56541442871094
1680122294.554702,6799360,157.52748107910156
1680122331.1665971,6881280,150.02825927734375
1680122404.197385,7045120,153.34625244140625
1680122440.6640792,7127040,149.7305450439453
1680122481.8586922,7208960,164.176513671875
1680122555.7175832,7372800,162.5630340576172
1680122593.131189,7454720,152.86781311035156
1680122670.6742148,7618560,145.2799072265625
1680122744.6757472,7782400,156.9854736328125
1680122781.341711,7864320,158.2657928466797
1680122818.2894988,7946240,162.47994995117188
1680122928.7646751,8192000,161.4550018310547
1680122966.052496,8273920,164.17103576660156
1680123079.402095,8519680,162.35838317871094
1680123117.5525901,8601600,161.522705078125
1680123191.255977,8765440,153.52236938476562
1680123228.542968,8847360,158.93435668945312
1680123265.370286,8929280,165.07798767089844
1680123301.729516,9011200,158.48886108398438
1680123338.913514,9093120,160.96693420410156
1680123376.0422819,9175040,156.7388916015625
1680123412.961528,9256960,163.82733154296875
1680123487.784255,9420800,162.97544860839844
1680123523.666616,9502720,155.64947509765625
1680123561.03171,9584640,156.48892211914062
1680123598.263826,9666560,158.34498596191406
1680123673.75374,9830400,158.76126098632812
1680123713.414952,9912320,164.0158233642578
1680123750.557777,9994240,158.6151123046875
1680123899.8316438,10321920,163.79086303710938
1680123936.6869812,10403840,150.5443572998047
1680123973.4752269,10485760,142.50296020507812
1680124010.247218,10567680,151.6985321044922
1680124047.75316,10649600,160.71966552734375
1680124085.1004128,10731520,147.12423706054688
1680124122.445599,10813440,149.6614532470703
1680124159.824584,10895360,155.44540405273438
1680124233.9976199,11059200,162.45693969726562
1680124310.8571908,11223040,152.58392333984375
1680124347.710712,11304960,110.0494155883789
1680124384.3675818,11386880,149.43035888671875
1680124421.46944,11468800,146.92257690429688
1680124458.734963,11550720,157.39324951171875
1680124495.7972522,11632640,151.6920928955078
1680124567.781949,11796480,149.074951171875
1680124606.028895,11878400,152.40164184570312
1680124643.535826,11960320,159.8518524169922
1680124676.925768,12042240,161.1782684326172
1680124709.868939,12124160,165.58816528320312
1680124742.9071832,12206080,141.97630310058594
1680124808.3911328,12369920,148.65240478515625
1680124946.511243,12697600,151.5400390625
1680125012.0147982,12861440,158.17864990234375
1680125044.633812,12943360,151.2056884765625
1680125086.198047,13025280,161.51715087890625
1680125123.4552488,13107200,155.3872833251953
1680125159.445639,13189120,162.767578125
1680125201.379532,13271040,160.97161865234375
1680125240.277214,13352960,157.080322265625
1680125278.283747,13434880,159.1204833984375
1680125316.7023711,13516800,146.16099548339844
1680125393.019535,13680640,156.00588989257812
1680125467.1585312,13844480,159.73497009277344
1680125501.567915,13926400,147.66879272460938
1680125543.338303,14008320,162.5272979736328
1680125584.9072661,14090240,168.627197265625
1680125629.216735,14172160,159.89227294921875
1680125706.753105,14336000,163.09556579589844
1680125741.189585,14417920,155.2939453125
1680125775.064158,14499840,152.62045288085938
1680125808.855007,14581760,150.9447784423828
1680125842.76827,14663680,162.09359741210938
1680125913.5556428,14827520,120.75137329101562
1680125947.817151,14909440,161.33145141601562
1680125982.861794,14991360,118.33759307861328
1680126018.481397,15073280,158.0136260986328
1680126052.411757,15155200,154.86526489257812
1680126086.319603,15237120,156.67674255371094
1680126120.836579,15319040,159.8463592529297
1680126229.248706,15564800,117.25297546386719
1680126270.9031801,15646720,152.26287841796875
1680126310.235137,15728640,157.53515625
1680126347.426732,15810560,156.4120635986328
1680126386.918133,15892480,166.07919311523438
1680126459.218338,16056320,159.9998016357422
1680126533.4077911,16220160,164.9540252685547
1680126568.0864892,16302080,150.36827087402344
1680126602.7316952,16384000,165.54803466796875
1680126635.4408152,16465920,162.59695434570312
1680126704.33864,16629760,160.08395385742188
1680126737.615627,16711680,162.38650512695312
1680126770.903702,16793600,158.44317626953125
1680126804.0866392,16875520,158.78997802734375
1680126836.929588,16957440,160.94371032714844
1680126869.993221,17039360,145.06134033203125
1680126903.22267,17121280,156.58139038085938
1680126936.106957,17203200,150.78118896484375
1680126968.899988,17285120,152.1817626953125
1680127001.68341,17367040,162.97109985351562
