Wall time,Step,Value
1684100375.757427,245760,81.34430694580078
1684100415.469037,327680,107.32381439208984
1684100458.870559,409600,116.97813415527344
1684100594.341384,655360,169.46517944335938
1684100692.257762,819200,197.9016876220703
1684100743.3295932,901120,132.27500915527344
1684100786.440203,983040,175.1249237060547
1684100928.832503,1228800,143.73512268066406
1684100976.150472,1310720,199.2908477783203
1684101016.915984,1392640,186.55162048339844
1684101100.162735,1556480,203.0792694091797
1684101138.79619,1638400,174.74209594726562
1684101173.909545,1720320,187.05982971191406
1684101249.484861,1884160,191.43373107910156
1684101287.758282,1966080,175.70045471191406
1684101403.422444,2211840,197.0869140625
1684101442.9585788,2293760,173.6035614013672
1684101482.0257,2375680,187.0712432861328
1684101520.4104471,2457600,200.42556762695312
1684101559.1543648,2539520,189.71661376953125
1684101598.169836,2621440,197.03958129882812
1684101636.973048,2703360,183.49945068359375
1684101674.847127,2785280,207.36683654785156
1684101712.84075,2867200,219.87969970703125
1684101790.370851,3031040,195.43569946289062
1684101828.426476,3112960,195.15570068359375
1684101866.489043,3194880,182.89349365234375
1684101905.2055502,3276800,210.4953155517578
1684101943.62012,3358720,205.3246612548828
1684102020.910079,3522560,203.4291229248047
1684102059.4901602,3604480,207.3801727294922
1684102215.022314,3932160,199.08355712890625
1684102252.993917,4014080,193.2232208251953
1684102291.5525272,4096000,218.27813720703125
1684102330.239579,4177920,203.0995635986328
1684102368.726188,4259840,200.11163330078125
1684102407.1896498,4341760,196.49594116210938
1684102445.7355678,4423680,203.7082977294922
1684102484.607599,4505600,206.05194091796875
1684102523.57833,4587520,171.8822479248047
1684102601.3560221,4751360,208.39813232421875
1684102716.1886232,4997120,190.72335815429688
1684102754.658211,5079040,213.49151611328125
1684102792.795681,5160960,188.23300170898438
1684102831.685193,5242880,176.13665771484375
1684102910.6967008,5406720,215.00735473632812
1684102948.98369,5488640,197.68922424316406
1684102987.4111822,5570560,198.3370361328125
1684103025.7273002,5652480,204.53677368164062
1684103102.673354,5816320,195.9122772216797
1684103141.5995982,5898240,210.77024841308594
1684103219.132226,6062080,201.44178771972656
1684103296.2222788,6225920,192.98574829101562
1684103372.5461938,6389760,204.9011993408203
1684103411.353395,6471680,220.8761749267578
1684103449.584455,6553600,224.46278381347656
1684103487.911228,6635520,205.13113403320312
1684103526.169889,6717440,215.31373596191406
1684103564.619549,6799360,219.15841674804688
1684103602.836767,6881280,203.70826721191406
1684103679.924934,7045120,194.4545440673828
1684103718.5421948,7127040,211.12376403808594
1684103756.54217,7208960,205.52992248535156
1684103833.766817,7372800,180.2201690673828
1684103872.46108,7454720,207.56588745117188
1684103948.7035651,7618560,211.4370880126953
1684104025.792128,7782400,227.2182159423828
1684104064.4038432,7864320,216.66844177246094
1684104102.740837,7946240,203.0633087158203
1684104217.5243468,8192000,182.25411987304688
1684104256.228377,8273920,198.0576171875
1684104374.607108,8519680,207.96017456054688
1684104413.0337942,8601600,220.27203369140625
1684104490.57248,8765440,198.96539306640625
1684104529.253642,8847360,212.67311096191406
1684104567.776201,8929280,213.54782104492188
1684104606.9912782,9011200,223.8662872314453
1684104646.2464051,9093120,213.12014770507812
1684104684.8982809,9175040,197.79061889648438
1684104723.4973361,9256960,231.6455841064453
1684104801.4557078,9420800,230.689697265625
1684104839.8022861,9502720,228.29539489746094
1684104878.0149848,9584640,220.3422393798828
1684104916.894229,9666560,228.7969512939453
1684104993.498393,9830400,215.01820373535156
1684105031.521913,9912320,230.444580078125
1684105070.068099,9994240,200.21240234375
1684105227.5390432,10321920,213.22518920898438
1684105265.814371,10403840,217.16012573242188
1684105304.054347,10485760,209.09814453125
1684105342.5632482,10567680,210.58163452148438
1684105380.603611,10649600,227.91990661621094
1684105419.0880089,10731520,211.39059448242188
1684105457.958752,10813440,226.43353271484375
1684105496.4915268,10895360,216.28466796875
1684105573.3013601,11059200,213.88363647460938
1684105650.248231,11223040,190.7242889404297
1684105688.351291,11304960,194.68768310546875
1684105726.857022,11386880,186.1377716064453
1684105765.4416971,11468800,216.12599182128906
1684105803.642942,11550720,216.6316680908203
1684105841.622153,11632640,213.7765655517578
1684105918.7952168,11796480,196.98074340820312
1684105957.513139,11878400,202.3502655029297
1684105995.720603,11960320,178.49974060058594
1684106033.872791,12042240,209.41030883789062
1684106072.493173,12124160,209.75177001953125
1684106111.353753,12206080,210.14715576171875
1684106190.864563,12369920,201.29995727539062
1684106345.223022,12697600,198.58995056152344
1684106423.115996,12861440,204.79066467285156
1684106461.670157,12943360,213.68939208984375
1684106500.443437,13025280,223.23190307617188
1684106539.805245,13107200,197.3423309326172
1684106578.470447,13189120,227.2362060546875
1684106616.973462,13271040,205.4298858642578
1684106655.323149,13352960,223.63046264648438
1684106694.397633,13434880,206.36517333984375
1684106732.716469,13516800,193.3870849609375
1684106809.643877,13680640,231.05809020996094
1684106886.42991,13844480,209.56114196777344
1684106924.6563442,13926400,202.39805603027344
1684106963.171177,14008320,209.9227294921875
1684107001.34369,14090240,215.17633056640625
1684107039.698344,14172160,218.53701782226562
1684107117.260333,14336000,209.08233642578125
1684107155.746464,14417920,219.04124450683594
1684107194.10813,14499840,232.81503295898438
1684107232.4945679,14581760,217.14320373535156
1684107273.2486668,14663680,227.0364532470703
1684107351.193801,14827520,226.79148864746094
1684107389.830496,14909440,211.26170349121094
1684107428.807195,14991360,227.00225830078125
1684107469.547812,15073280,229.16102600097656
1684107508.395705,15155200,227.5933837890625
1684107546.835128,15237120,206.70376586914062
1684107585.235279,15319040,180.65570068359375
1684107700.5931258,15564800,226.8576202392578
1684107738.924363,15646720,217.71214294433594
1684107776.837533,15728640,229.15528869628906
1684107815.1554492,15810560,200.92617797851562
1684107857.851619,15892480,225.00418090820312
1684107938.088209,16056320,234.39857482910156
1684108014.48281,16220160,215.6625518798828
1684108052.8089442,16302080,223.87100219726562
1684108091.2519,16384000,201.51646423339844
1684108130.0914829,16465920,224.189697265625
1684108206.7286148,16629760,195.38742065429688
1684108244.936121,16711680,224.87815856933594
1684108283.149487,16793600,208.5161590576172
1684108321.654819,16875520,228.2738800048828
1684108359.985292,16957440,235.677490234375
1684108399.193005,17039360,211.97569274902344
1684108438.247776,17121280,208.45419311523438
1684108476.887989,17203200,210.7379608154297
1684108515.914856,17285120,210.0755615234375
1684108555.284412,17367040,222.98728942871094
1684108633.039603,17530880,235.74691772460938
1684108709.690024,17694720,208.8934326171875
1684108747.796006,17776640,225.66229248046875
1684108825.111812,17940480,211.67068481445312
1684108863.149745,18022400,224.31723022460938
1684108901.424216,18104320,233.37014770507812
1684108939.6470451,18186240,233.9077911376953
1684108978.540763,18268160,215.24575805664062
1684109055.081932,18432000,232.48936462402344
1684109094.260304,18513920,225.4923553466797
1684109133.617264,18595840,208.59902954101562
1684109250.6352909,18841600,231.1798095703125
1684109327.72471,19005440,228.8987579345703
1684109366.1010518,19087360,208.16653442382812
1684109404.5389938,19169280,220.44044494628906
1684109443.0717702,19251200,216.7661590576172
1684109481.3625002,19333120,243.99826049804688
1684109519.767145,19415040,233.9921112060547
1684109558.002867,19496960,217.36427307128906
1684109596.470328,19578880,233.50718688964844
1684109634.9488919,19660800,209.7241973876953
1684109713.734058,19824640,234.0460205078125
1684109754.8013692,19906560,215.80067443847656
1684109831.132608,20070400,234.35968017578125
1684109869.836235,20152320,206.1519012451172
1684109908.163682,20234240,215.71469116210938
1684109946.443153,20316160,241.3495635986328
1684109984.825257,20398080,236.19239807128906
1684110022.9714618,20480000,217.85508728027344
1684110143.8868558,20725760,220.62335205078125
1684110182.539857,20807680,230.75559997558594
1684110221.458414,20889600,231.29122924804688
1684110260.931821,20971520,221.47610473632812
1684110337.904209,21135360,234.68812561035156
1684110375.94691,21217280,228.0823211669922
1684110414.7112892,21299200,233.47337341308594
1684110453.6297832,21381120,217.29669189453125
1684110530.797281,21544960,217.31593322753906
1684110568.625896,21626880,201.5117645263672
1684110644.765461,21790720,221.03652954101562
1684110759.874217,22036480,202.4092254638672
1684110837.021454,22200320,226.7534942626953
1684110875.2591412,22282240,199.7578125
1684110953.1428218,22446080,212.67626953125
1684110992.454035,22528000,214.33139038085938
1684111031.249269,22609920,238.49391174316406
1684111070.092226,22691840,224.88174438476562
1684111147.4993541,22855680,231.12176513671875
1684111185.9649742,22937600,222.531982421875
1684111224.169433,23019520,235.3834686279297
1684111262.752137,23101440,225.5775604248047
1684111301.14256,23183360,232.8143768310547
1684111339.564481,23265280,236.965576171875
1684111378.216156,23347200,243.73251342773438
1684111416.636086,23429120,195.59835815429688
1684111455.46912,23511040,208.62371826171875
1684111494.5273442,23592960,235.71737670898438
1684111534.204575,23674880,221.49862670898438
1684111611.4861681,23838720,219.32293701171875
1684111650.918141,23920640,211.05531311035156
1684111803.02706,24248320,226.70689392089844
1684111841.358266,24330240,212.47119140625
1684111879.711465,24412160,231.0552978515625
1684111918.137422,24494080,226.52725219726562
1684111956.433279,24576000,228.8026580810547
1684111994.7385201,24657920,218.9278106689453
1684112110.1881301,24903680,201.1822509765625
1684112148.7910411,24985600,226.74832153320312
1684112187.11647,25067520,226.3769989013672
1684112228.355743,25149440,229.7056121826172
1684112266.980858,25231360,229.31166076660156
1684112305.339916,25313280,221.91978454589844
1684112343.621845,25395200,234.23194885253906
1684112420.844137,25559040,208.92747497558594
1684112459.4377441,25640960,225.19204711914062
1684112498.3849971,25722880,229.68035888671875
1684112537.110582,25804800,222.64535522460938
1684112575.210984,25886720,226.10736083984375
1684112613.209376,25968640,220.21353149414062
1684112690.6612248,26132480,218.69229125976562
1684112728.827496,26214400,215.50730895996094
1684112767.114936,26296320,220.68136596679688
1684112805.646432,26378240,215.02809143066406
1684112843.891295,26460160,218.5671844482422
1684112921.269085,26624000,236.09201049804688
1684113036.296694,26869760,235.4216766357422
1684113112.9045608,27033600,218.38253784179688
1684113151.114641,27115520,230.9486083984375
1684113189.4422789,27197440,204.21389770507812
1684113228.041002,27279360,235.58041381835938
1684113266.404288,27361280,202.98101806640625
1684113305.333339,27443200,236.98184204101562
1684113384.615919,27607040,210.56475830078125
1684113423.632622,27688960,219.8863067626953
1684113461.963834,27770880,219.02264404296875
1684113538.826078,27934720,209.65760803222656
1684113615.897971,28098560,219.716064453125
1684113654.036968,28180480,214.46490478515625
1684113692.480692,28262400,232.7775421142578
1684113731.640725,28344320,213.00723266601562
1684113769.478845,28426240,226.8148956298828
1684113807.586367,28508160,220.39938354492188
1684113846.351634,28590080,228.0948028564453
1684113885.0589209,28672000,232.6861114501953
1684113923.567615,28753920,223.49014282226562
1684114000.382103,28917760,228.72471618652344
1684114041.630602,28999680,237.36927795410156
1684114080.407747,29081600,233.76171875
1684114119.113017,29163520,225.7489471435547
1684114195.7126331,29327360,230.37060546875
1684114234.08394,29409280,212.20655822753906
1684114311.096094,29573120,232.3475341796875
1684114349.2600698,29655040,235.91885375976562
1684114387.846803,29736960,232.06466674804688
1684114426.1412768,29818880,227.9691619873047
1684114464.8718772,29900800,225.8490753173828
1684114503.7841291,29982720,228.09591674804688
1684114542.656529,30064640,235.91648864746094
1684114581.777011,30146560,221.62680053710938
1684114620.5089831,30228480,236.2481689453125
1684114659.831042,30310400,220.27232360839844
1684114804.0592399,30638080,229.81617736816406
1684114839.51666,30720000,229.59535217285156
1684114875.0558689,30801920,223.9620361328125
1684114946.685367,30965760,233.6439971923828
1684114984.071817,31047680,243.94320678710938
1684115116.79497,31293440,214.42022705078125
1684115155.6608949,31375360,239.2563934326172
1684115235.0154922,31539200,231.5941619873047
1684115276.741598,31621120,236.17750549316406
1684115313.556941,31703040,229.7432403564453
1684115414.20701,31948800,232.80172729492188
1684115447.825802,32030720,220.05516052246094
1684115481.311479,32112640,233.76953125
1684115515.338639,32194560,237.3278350830078
1684115549.9540749,32276480,206.42579650878906
1684115583.7721128,32358400,226.71644592285156
1684115620.685102,32440320,213.10897827148438
1684115658.099325,32522240,236.2774200439453
1684115698.954139,32604160,232.3685760498047
1684115732.122518,32686080,222.093505859375
1684115768.5111701,32768000,234.38363647460938
1684115803.520669,32849920,231.95773315429688
1684115837.2260249,32931840,231.96412658691406
1684115870.917423,33013760,230.24537658691406
1684115904.244929,33095680,225.02426147460938
1684115937.6580539,33177600,225.63368225097656
1684115971.2992861,33259520,227.9821014404297
1684116004.711914,33341440,232.55918884277344
1684116038.519958,33423360,218.136474609375
1684116071.9784389,33505280,229.78106689453125
1684116105.481686,33587200,230.66143798828125
