Wall time,Step,Value
1685173397.897968,245760,90.49278259277344
1685173431.5598001,327680,93.80015563964844
1685173464.857982,409600,67.66651153564453
1685173565.802878,655360,132.848388671875
1685173632.349678,819200,167.86294555664062
1685173665.7415738,901120,158.0815887451172
1685173698.93647,983040,181.9548797607422
1685173800.152591,1228800,179.759521484375
1685173835.2103941,1310720,165.0022735595703
1685173868.523517,1392640,165.97845458984375
1685173935.0611148,1556480,171.79978942871094
1685173968.332785,1638400,177.716796875
1685174001.777758,1720320,156.75242614746094
1685174068.389258,1884160,149.42030334472656
1685174101.469385,1966080,189.77801513671875
1685174202.690207,2211840,200.32972717285156
1685174235.943702,2293760,185.3450164794922
1685174269.033529,2375680,196.2712860107422
1685174302.128408,2457600,190.1577606201172
1685174335.276065,2539520,196.8492431640625
1685174368.7110112,2621440,204.22525024414062
1685174402.2269702,2703360,174.0723876953125
1685174435.201767,2785280,197.95530700683594
1685174468.512009,2867200,213.52993774414062
1685174535.1982982,3031040,197.77377319335938
1685174568.533553,3112960,197.00218200683594
1685174601.935732,3194880,205.5825958251953
1685174635.2267148,3276800,212.32168579101562
1685174668.4504561,3358720,197.20419311523438
1685174735.991387,3522560,211.36624145507812
1685174769.1064918,3604480,176.7773895263672
1685174902.958276,3932160,201.03707885742188
1685174936.6990678,4014080,207.3497772216797
1685174970.473845,4096000,195.7657470703125
1685175003.9629009,4177920,211.41603088378906
1685175037.328491,4259840,214.201904296875
1685175070.732645,4341760,204.84619140625
1685175103.9572532,4423680,199.7414093017578
1685175137.451814,4505600,202.09080505371094
1685175170.6011221,4587520,219.34597778320312
1685175241.1662312,4751360,206.138916015625
1685175342.753438,4997120,202.5531005859375
1685175376.1105459,5079040,215.6201629638672
1685175409.4874282,5160960,223.20066833496094
1685175442.931148,5242880,205.37867736816406
1685175509.905427,5406720,197.26272583007812
1685175543.241777,5488640,202.6767120361328
1685175576.832453,5570560,206.2435302734375
1685175610.373743,5652480,211.62127685546875
1685175677.638644,5816320,196.42337036132812
1685175710.970219,5898240,194.8715057373047
1685175777.4487839,6062080,201.2068328857422
1685175843.830119,6225920,199.88648986816406
1685175910.187819,6389760,213.45484924316406
1685175944.233415,6471680,189.98118591308594
1685175977.27537,6553600,188.71136474609375
1685176010.510922,6635520,202.9831085205078
1685176043.5078259,6717440,215.53863525390625
1685176076.6615171,6799360,204.66661071777344
1685176109.857901,6881280,200.96710205078125
1685176176.346448,7045120,200.28042602539062
1685176209.493928,7127040,216.6679229736328
1685176242.977386,7208960,187.0812530517578
1685176309.611486,7372800,198.99057006835938
1685176342.630307,7454720,202.44725036621094
1685176409.013909,7618560,217.10877990722656
1685176475.5901692,7782400,210.53968811035156
1685176509.757886,7864320,216.3568878173828
1685176544.161739,7946240,215.434814453125
1685176644.0612328,8192000,202.6666259765625
1685176677.189891,8273920,222.27566528320312
1685176777.239444,8519680,226.19329833984375
1685176810.431563,8601600,218.77159118652344
1685176877.351944,8765440,226.17404174804688
1685176910.415234,8847360,208.5009307861328
1685176943.745157,8929280,185.93765258789062
1685176977.094679,9011200,212.72251892089844
1685177010.773103,9093120,217.81797790527344
1685177044.182322,9175040,207.3433380126953
1685177077.313271,9256960,212.21560668945312
1685177144.8934999,9420800,201.76669311523438
1685177178.346026,9502720,198.60888671875
